,top50_scores,top25_scores,top10_scores
rh_G_cingul.Post.dorsal_thicknessstd,0.0,0.0,0.0
rh_G_cingul.Post.ventral_thicknessstd,0.0,0.0,0.0
rh_G_cuneus_thicknessstd,0.0,0.0,0.0
rh_G_front_inf.Opercular_thicknessstd,0.0,0.0,0.0
rh_G_front_inf.Orbital_thicknessstd,0.0,0.0,0.0
rh_G_front_inf.Triangul_thicknessstd,0.0,0.0,0.0
rh_G_front_middle_thicknessstd,0.0,0.0,0.0
rh_G_front_sup_thicknessstd,0.0,0.0,0.0
rh_G_Ins_lg.S_cent_ins_thicknessstd,0.0,0.0,0.0
rh_G_insular_short_thicknessstd,0.0,0.0,0.0
rh_G_occipital_middle_thicknessstd,0.0,0.0,0.0
rh_G_occipital_sup_thicknessstd,0.0,0.0,0.0
rh_G_oc.temp_lat.fusifor_thicknessstd,0.0,0.0,0.0
rh_G_oc.temp_med.Lingual_thicknessstd,0.0,0.0,0.0
rh_G_oc.temp_med.Parahip_thicknessstd,0.0,0.0,0.0
rh_G_orbital_thicknessstd,0.0,0.0,0.0
rh_G_pariet_inf.Angular_thicknessstd,0.0,0.0,0.0
rh_G_pariet_inf.Supramar_thicknessstd,0.0,0.0,0.0
rh_G_parietal_sup_thicknessstd,0.0,0.0,0.0
rh_G_postcentral_thicknessstd,0.0,0.0,0.0
rh_G_precentral_thicknessstd,0.0,0.0,0.0
rh_G_precuneus_thicknessstd,0.0,0.0,0.0
rh_G_rectus_thicknessstd,0.0,0.0,0.0
rh_G.S_cingul.Ant_thicknessstd,0.0,0.0,0.0
rh_G.S_subcentral_thicknessstd,0.0,0.0,0.0
rh_lateralorbitofrontal_thicknessstd,0.0,0.0,0.0
rh_G.S_paracentral_thicknessstd,0.0,0.0,0.0
rh_lingual_thicknessstd,0.0,0.0,0.0
rh_medialorbitofrontal_thicknessstd,0.0,0.0,0.0
rh_middletemporal_thicknessstd,0.0,0.0,0.0
rh_parahippocampal_thicknessstd,0.0,0.0,0.0
rh_paracentral_thicknessstd,0.0,0.0,0.0
rh_parsopercularis_thicknessstd,6.0,0.0,0.0
rh_parsorbitalis_thicknessstd,0.0,0.0,0.0
rh_parstriangularis_thicknessstd,0.0,0.0,0.0
rh_pericalcarine_thicknessstd,0.0,0.0,0.0
rh_postcentral_thicknessstd,0.0,0.0,0.0
rh_posteriorcingulate_thicknessstd,0.0,0.0,0.0
rh_precentral_thicknessstd,0.0,0.0,0.0
rh_precuneus_thicknessstd,0.0,0.0,0.0
rh_rostralanteriorcingulate_thicknessstd,0.0,0.0,0.0
rh_rostralmiddlefrontal_thicknessstd,0.0,0.0,0.0
rh_superiorfrontal_thicknessstd,0.0,0.0,0.0
rh_superiorparietal_thicknessstd,0.0,0.0,0.0
rh_superiortemporal_thicknessstd,0.0,0.0,0.0
rh_supramarginal_thicknessstd,0.0,0.0,0.0
